Geography Type Description,Geography Name,Sits in State,GeoID,Formatted GeoID,Percent Housing Units with 0 Vehicles Available,Data Time Period,Geographic Vintage,Data Source
Zip Code Tabulation Area,73960,TX,73960,73960,,2018-2022,2020,Census
Zip Code Tabulation Area,75132,TX,75132,75132,,2018-2022,2020,Census
Zip Code Tabulation Area,75261,TX,75261,75261,,2018-2022,2020,Census
Zip Code Tabulation Area,75270,TX,75270,75270,,2018-2022,2020,Census
Zip Code Tabulation Area,75390,TX,75390,75390,,2018-2022,2020,Census
Zip Code Tabulation Area,75429,TX,75429,75429,,2018-2022,2020,Census
Zip Code Tabulation Area,75434,TX,75434,75434,,2018-2022,2020,Census
Zip Code Tabulation Area,75659,TX,75659,75659,,2018-2022,2020,Census
Zip Code Tabulation Area,75671,TX,75671,75671,,2018-2022,2020,Census
Zip Code Tabulation Area,75680,TX,75680,75680,,2018-2022,2020,Census
Zip Code Tabulation Area,75687,TX,75687,75687,,2018-2022,2020,Census
Zip Code Tabulation Area,75694,TX,75694,75694,,2018-2022,2020,Census
Zip Code Tabulation Area,75711,TX,75711,75711,,2018-2022,2020,Census
Zip Code Tabulation Area,75865,TX,75865,75865,,2018-2022,2020,Census
Zip Code Tabulation Area,75884,TX,75884,75884,,2018-2022,2020,Census
Zip Code Tabulation Area,75886,TX,75886,75886,,2018-2022,2020,Census
Zip Code Tabulation Area,75962,TX,75962,75962,,2018-2022,2020,Census
Zip Code Tabulation Area,76129,TX,76129,76129,,2018-2022,2020,Census
Zip Code Tabulation Area,76203,TX,76203,76203,,2018-2022,2020,Census
Zip Code Tabulation Area,76241,TX,76241,76241,,2018-2022,2020,Census
Zip Code Tabulation Area,76263,TX,76263,76263,,2018-2022,2020,Census
Zip Code Tabulation Area,76402,TX,76402,76402,,2018-2022,2020,Census
Zip Code Tabulation Area,76439,TX,76439,76439,,2018-2022,2020,Census
Zip Code Tabulation Area,76573,TX,76573,76573,,2018-2022,2020,Census
Zip Code Tabulation Area,76596,TX,76596,76596,,2018-2022,2020,Census
Zip Code Tabulation Area,76597,TX,76597,76597,,2018-2022,2020,Census
Zip Code Tabulation Area,76598,TX,76598,76598,,2018-2022,2020,Census
Zip Code Tabulation Area,76599,TX,76599,76599,,2018-2022,2020,Census
Zip Code Tabulation Area,76798,TX,76798,76798,,2018-2022,2020,Census
Zip Code Tabulation Area,76824,TX,76824,76824,,2018-2022,2020,Census
Zip Code Tabulation Area,76831,TX,76831,76831,,2018-2022,2020,Census
Zip Code Tabulation Area,76836,TX,76836,76836,,2018-2022,2020,Census
Zip Code Tabulation Area,76841,TX,76841,76841,,2018-2022,2020,Census
Zip Code Tabulation Area,76874,TX,76874,76874,,2018-2022,2020,Census
Zip Code Tabulation Area,76880,TX,76880,76880,,2018-2022,2020,Census
Zip Code Tabulation Area,76902,TX,76902,76902,,2018-2022,2020,Census
Zip Code Tabulation Area,76908,TX,76908,76908,,2018-2022,2020,Census
Zip Code Tabulation Area,76909,TX,76909,76909,,2018-2022,2020,Census
Zip Code Tabulation Area,76939,TX,76939,76939,,2018-2022,2020,Census
Zip Code Tabulation Area,76940,TX,76940,76940,,2018-2022,2020,Census
Zip Code Tabulation Area,77204,TX,77204,77204,,2018-2022,2020,Census
Zip Code Tabulation Area,77341,TX,77341,77341,,2018-2022,2020,Census
Zip Code Tabulation Area,77342,TX,77342,77342,,2018-2022,2020,Census
Zip Code Tabulation Area,77368,TX,77368,77368,,2018-2022,2020,Census
Zip Code Tabulation Area,77412,TX,77412,77412,,2018-2022,2020,Census
Zip Code Tabulation Area,77432,TX,77432,77432,,2018-2022,2020,Census
Zip Code Tabulation Area,77436,TX,77436,77436,,2018-2022,2020,Census
Zip Code Tabulation Area,77467,TX,77467,77467,,2018-2022,2020,Census
